f_18, P_18, P_fit, P_estimated, P_input, P_noise,
6.485522069184963989e+00 8.867523371841345189e-05 1.340469648677360256e-04 2.475824848245030545e-06 2.648483161790846222e-06 1.315711400194909879e-04
6.535410700486385949e+00 9.173259415448236373e-05 1.335397422712336646e-04 2.061163350930611903e-06 2.210095361825250044e-06 1.314785789203030573e-04
6.585299331787808796e+00 9.480409126022344062e-05 1.330992514068073671e-04 1.713542525754854564e-06 1.841715813113179440e-06 1.313857088810525212e-04
6.635187963089231644e+00 9.747876047974335053e-05 1.327150865321874407e-04 1.422549354755682590e-06 1.532611315609802328e-06 1.312925371774317708e-04
6.685076594390654492e+00 9.928328005148447577e-05 1.323783859650814814e-04 1.179314884139826371e-06 1.273618167205412597e-06 1.311990710809416447e-04
6.734965225692077340e+00 9.976673182227510889e-05 1.320816154035135605e-04 9.762975454189405524e-07 1.056925241358720330e-06 1.311053178580946213e-04
6.784853856993500187e+00 9.862063193371491143e-05 1.318183796562579738e-04 8.070948866306152337e-07 8.758850247166428581e-07 1.310112847696273631e-04
6.834742488294922147e+00 9.578489575145527214e-05 1.315832593734553887e-04 6.662803037339447267e-07 7.248493258947183831e-07 1.309169790697214464e-04
6.884631119596345883e+00 9.147936388387556937e-05 1.313716697284092320e-04 5.492617231750915962e-07 5.990267056784799517e-07 1.308224080052341467e-04
6.934519750897768731e+00 8.613729197531633935e-05 1.311797383315455728e-04 4.521595166077126139e-07 4.943589901433981020e-07 1.307275788149378710e-04
6.984408382199190690e+00 8.027718201854038081e-05 1.310041999581387459e-04 3.717012293695383837e-07 4.074145127943989310e-07 1.306324987287692122e-04
7.034297013500613538e+00 7.437891503139178781e-05 1.308423059442983432e-04 3.051309772108622120e-07 3.352959911390364951e-07 1.305371749670874906e-04
7.084185644802037274e+00 6.881006982667463464e-05 1.306917463526018454e-04 2.501316126593164186e-07 2.755611785605278104e-07 1.304416147399425376e-04
7.134074276103459233e+00 6.380840681392679350e-05 1.305505832313875038e-04 2.047579850353483903e-07 2.261546454317967618e-07 1.303458252463521566e-04
7.183962907404882081e+00 5.950108274972958615e-05 1.304171934918406275e-04 1.673798182513467391e-07 1.853492356144905135e-07 1.302498136735892869e-04
7.233851538706305817e+00 5.593776702651423330e-05 1.302902201063362616e-04 1.366329098576328143e-07 1.516959173218316247e-07 1.301535871964786277e-04
7.283740170007728665e+00 5.312283791551129222e-05 1.301685304917230641e-04 1.113775150196553142e-07 1.239809022718371113e-07 1.300571529767033992e-04
7.333628801309150624e+00 5.104064723617725047e-05 1.300511810839642083e-04 9.066292184263038820e-08 1.011890455607441340e-07 1.299605181621215906e-04
7.383517432610573472e+00 4.967330887318137557e-05 1.299373872373427771e-04 7.369735125073459435e-08 8.247266213546176214e-08 1.298636898860920468e-04
7.433406063911997208e+00 4.901275648643391055e-05 1.298264976937568531e-04 5.982242694615922923e-08 6.712500546729847391e-08 1.297666752668106931e-04
7.483294695213419168e+00 4.906928838102296700e-05 1.297179729668576404e-04 4.849156020128208079e-08 5.455775128688716206e-08 1.296694814066563545e-04
7.533183326514842015e+00 4.987856399950128258e-05 1.296113670732151294e-04 3.925168166798271623e-08 4.428191521799909792e-08 1.295721153915471463e-04
7.583071957816263975e+00 5.150860334900468439e-05 1.295063121195299725e-04 3.172782922397639562e-08 3.589170895533408452e-08 1.294745842903059991e-04
7.632960589117687711e+00 5.406794966813205887e-05 1.294025053222656993e-04 2.561016822853438242e-08 2.905090629994048745e-08 1.293768951540371606e-04
7.682849220419110559e+00 5.771571722989254157e-05 1.292996980949637361e-04 2.064307945168500791e-08 2.348134884990440090e-08 1.292790550155120503e-04
7.732737851720532518e+00 6.267344103060746186e-05 1.291976868898734340e-04 1.661600130782845066e-08 1.895327232119282405e-08 1.291810708885656020e-04
7.782626483021955366e+00 6.923671915888820138e-05 1.290963055252221858e-04 1.335575771959030321e-08 1.527717914811235245e-08 1.290829497675025821e-04
7.832515114323379102e+00 7.777995693198077394e-05 1.289954187682484791e-04 1.072014173442391847e-08 1.229702191764666213e-08 1.289846986265140449e-04
7.882403745624801950e+00 8.873687064280840310e-05 1.288949169777179899e-04 8.592558614089851604e-09 9.884495992344953289e-09 1.288863244191038981e-04
7.932292376926223909e+00 1.025178753285205577e-04 1.287947116386706269e-04 6.877561144934174220e-09 7.934268973951996312e-09 1.287878340775256867e-04
7.982181008227646757e+00 1.192913114812809198e-04 1.286947316471685754e-04 5.497134938996417852e-09 6.359999996328874378e-09 1.286892345122295689e-04
8.032069639529069605e+00 1.385338056043482690e-04 1.285949202243358281e-04 4.387613016430956077e-09 5.091023697462114759e-09 1.285905326113194014e-04
8.081958270830492452e+00 1.583575621475634995e-04 1.284952323574468230e-04 3.497117427226057616e-09 4.069592541048910872e-09 1.284917352400196105e-04
8.131846902131915300e+00 1.750579674418056223e-04 1.283956326816358749e-04 2.783441482880780594e-09 3.248587325457501419e-09 1.283928492401529859e-04
8.181735533433338148e+00 1.839473866048335475e-04 1.282960937293066439e-04 2.212299678648944526e-09 2.589619575602252695e-09 1.282938814296279888e-04
8.231624164734760996e+00 1.819753230821372070e-04 1.281965944858408889e-04 1.755883904599921962e-09 2.061461365781910893e-09 1.281948386019362781e-04
8.281512796036183843e+00 1.700457911275293614e-04 1.280971192000024926e-04 1.391674341895698108e-09 1.638748237349470922e-09 1.280957275256605914e-04
8.331401427337606691e+00 1.522510061051630091e-04 1.279976564057509357e-04 1.101461758410259181e-09 1.300909490457158955e-09 1.279965549439925185e-04
8.381290058639029539e+00 1.330238507674856119e-04 1.278981981192244368e-04 8.705449640012340718e-10 1.031287451274540233e-09 1.278973275742604403e-04
8.431178689940452387e+00 1.152576092044108193e-04 1.277987391806097454e-04 6.870731423655587230e-10 8.164135262433188038e-10 1.277980521074673873e-04
8.481067321241875234e+00 1.001815394276530670e-04 1.276992767156405798e-04 5.415078015850153100e-10 6.454141111795683987e-10 1.276987352078389816e-04
8.530955952543298082e+00 8.798684987103057309e-05 1.275998096956976928e-04 4.261833161869971507e-10 5.095238628385511747e-10 1.275993835123815159e-04
8.580844583844720930e+00 7.840334021648658958e-05 1.275003385790381605e-04 3.349485881972714640e-10 4.016875831736670269e-10 1.275000036304499537e-04
8.630733215146143777e+00 7.103109298636724103e-05 1.274008650186606842e-04 2.628753352774016646e-10 3.162351151152477038e-10 1.274006021433254151e-04
8.680621846447566625e+00 6.548823221782493252e-05 1.273013916248115929e-04 2.060210083350203911e-10 2.486162922923154133e-10 1.273011856038032614e-04
8.730510477748987697e+00 6.146171632844016797e-05 1.272019217722146186e-04 1.612364241854778630e-10 1.951852003412656353e-10 1.272017605357904228e-04
8.780399109050412321e+00 5.871622200309837083e-05 1.271024594438481233e-04 1.260099352650588677e-10 1.530248600750791964e-10 1.271023334339128625e-04
8.830287740351835168e+00 5.708836515681273897e-05 1.270030091045357460e-04 9.834140294536291947e-11 1.198049891640687609e-10 1.270029107631327997e-04
8.880176371653256240e+00 5.647801826408322236e-05 1.269035755988157500e-04 7.664044040383015841e-11 9.366678723971021872e-11 1.269034989583753368e-04
8.930065002954680864e+00 5.684122971628065198e-05 1.268041640685498982e-04 5.964438494866599030e-11 7.312976050349053202e-11 1.268041044241649540e-04
8.979953634256103712e+00 5.818617749601730238e-05 1.267047798865535829e-04 4.635228179509892165e-11 5.701649088897476250e-11 1.267047335342717882e-04
9.029842265557526559e+00 6.057234568179215988e-05 1.266054286032071094e-04 3.597183995927295023e-11 4.439199118332955168e-11 1.266053926313671549e-04
9.079730896858947631e+00 6.411248092091189797e-05 1.265061159035688314e-04 2.787688013872454794e-11 3.451489631445012613e-11 1.265060880266886923e-04
9.129619528160372255e+00 6.897614132022246317e-05 1.264068475729690803e-04 2.157325434600974138e-11 2.679824340628274156e-11 1.264068259997147212e-04
9.179508159461795103e+00 7.539210935388851952e-05 1.263076294694431313e-04 1.667159458113159854e-11 2.077800702318116931e-11 1.263076127978485523e-04
9.229396790763216174e+00 8.364363247694469033e-05 1.262084675016685845e-04 1.286555714716229949e-11 1.608789625049086545e-11 1.262084546361114405e-04
9.279285422064639022e+00 9.404394819160529070e-05 1.261093676113272380e-04 9.914482182664889433e-12 1.243919946525663335e-11 1.261093576968450524e-04
9.329174053366063646e+00 1.068684942659752152e-04 1.260103357590176159e-04 7.629594487733997775e-12 9.604691362064973600e-12 1.260103281294231228e-04
9.379062684667484717e+00 1.222065069254856667e-04 1.259113779130124422e-04 5.863039983107918556e-12 7.405803805289669344e-12 1.259113720499724625e-04
9.428951315968907565e+00 1.396932926303842855e-04 1.258125000402912587e-04 4.499188994694735136e-12 5.702414707743093947e-12 1.258124955411022599e-04
9.478839947270330413e+00 1.581399625517190604e-04 1.257137080993919547e-04 3.447748659700703436e-12 4.384733481571763391e-12 1.257137046516433035e-04
9.528728578571753260e+00 1.752551946329747507e-04 1.256150080347120110e-04 2.638316786651380318e-12 3.366862729001356574e-12 1.256150053963952270e-04
