Depth	Density	sigma_D	sigma_o18	sigma_o17
68.50	741.001	0.062321	0.069511	0.070414
69.00	742.639	0.062254	0.069437	0.070339
69.50	744.266	0.062187	0.069361	0.070262
70.00	745.880	0.062118	0.069285	0.070185
70.50	747.484	0.062049	0.069207	0.070107
71.00	749.075	0.061979	0.069129	0.070027
71.50	750.655	0.061908	0.069050	0.069947
72.00	752.223	0.061836	0.068970	0.069866
72.50	753.780	0.061764	0.068889	0.069784
73.00	755.326	0.061691	0.068808	0.069702
73.50	756.859	0.061617	0.068725	0.069618
74.00	758.381	0.061542	0.068642	0.069534
74.50	759.892	0.061467	0.068559	0.069449
75.00	761.392	0.061392	0.068474	0.069364
75.50	762.879	0.061315	0.068389	0.069278
76.00	764.356	0.061239	0.068303	0.069191
76.50	765.821	0.061161	0.068217	0.069104
77.00	767.275	0.061083	0.068130	0.069016
77.50	768.718	0.061005	0.068043	0.068927
78.00	770.149	0.060926	0.067955	0.068838
78.50	771.569	0.060847	0.067867	0.068749
79.00	772.978	0.060768	0.067778	0.068659
79.50	774.376	0.060688	0.067689	0.068569
80.00	775.763	0.060607	0.067600	0.068478
80.50	777.139	0.060527	0.067510	0.068387
81.00	778.503	0.060446	0.067419	0.068295
81.50	779.857	0.060365	0.067329	0.068203
82.00	781.200	0.060283	0.067238	0.068111
82.50	782.532	0.060201	0.067147	0.068019
83.00	783.853	0.060119	0.067055	0.067926
83.50	785.163	0.060037	0.066963	0.067833
84.00	786.463	0.059955	0.066871	0.067740
84.50	787.752	0.059872	0.066779	0.067647
85.00	789.030	0.059789	0.066687	0.067553
85.50	790.298	0.059706	0.066595	0.067460
86.00	791.555	0.059623	0.066502	0.067366
86.50	792.801	0.059540	0.066409	0.067272
87.00	794.037	0.059457	0.066316	0.067178
87.50	795.263	0.059374	0.066223	0.067084
88.00	796.478	0.059290	0.066130	0.066990
88.50	797.683	0.059207	0.066037	0.066895
89.00	798.878	0.059123	0.065944	0.066801
89.50	800.063	0.059040	0.065851	0.066707
90.00	801.237	0.058956	0.065758	0.066612
90.50	802.401	0.058873	0.065665	0.066518
91.00	803.556	0.058790	0.065572	0.066424
91.50	804.700	0.058706	0.065479	0.066330
92.00	805.834	0.058624	0.065387	0.066236
92.50	806.958	0.058542	0.065296	0.066144
93.00	808.073	0.058461	0.065206	0.066053
93.50	809.178	0.058381	0.065117	0.065963
94.00	810.273	0.058302	0.065029	0.065873
94.50	811.358	0.058224	0.064942	0.065785
