Depth	Density	sigma_D	sigma_o18	sigma_o17
86.00	857.178	0.083496	0.090230	0.091278
86.50	858.038	0.083412	0.090140	0.091187
87.00	858.887	0.083330	0.090051	0.091097
87.50	859.724	0.083249	0.089963	0.091008
88.00	860.550	0.083169	0.089877	0.090921
88.50	861.365	0.083090	0.089792	0.090835
89.00	862.169	0.083013	0.089708	0.090750
89.50	862.962	0.082936	0.089626	0.090667
90.00	863.745	0.082861	0.089544	0.090584
90.50	864.516	0.082787	0.089464	0.090504
91.00	865.277	0.082714	0.089386	0.090424
91.50	866.028	0.082643	0.089308	0.090346
92.00	866.769	0.082572	0.089232	0.090268
92.50	867.499	0.082503	0.089157	0.090192
93.00	868.219	0.082434	0.089083	0.090118
93.50	868.930	0.082367	0.089010	0.090044
94.00	869.631	0.082300	0.088938	0.089971
94.50	870.322	0.082235	0.088868	0.089900
95.00	871.003	0.082171	0.088798	0.089830
95.50	871.675	0.082107	0.088730	0.089760
96.00	872.338	0.082045	0.088662	0.089692
96.50	872.991	0.081984	0.088596	0.089625
97.00	873.636	0.081923	0.088531	0.089559
