Depth	Density	sigma_D	sigma_o18	sigma_o17
166.00	911.663	0.078506	0.084838	0.085823
166.50	911.744	0.078499	0.084830	0.085815
167.00	911.824	0.078492	0.084823	0.085808
167.50	911.904	0.078485	0.084815	0.085800
168.00	911.981	0.078479	0.084808	0.085793
168.50	912.058	0.078472	0.084801	0.085786
169.00	912.134	0.078465	0.084794	0.085779
169.50	912.208	0.078459	0.084787	0.085772
170.00	912.281	0.078453	0.084780	0.085765
170.50	912.354	0.078447	0.084774	0.085758
171.00	912.425	0.078440	0.084767	0.085751
171.50	912.495	0.078434	0.084760	0.085745
172.00	912.563	0.078428	0.084754	0.085738
172.50	912.631	0.078423	0.084748	0.085732
173.00	912.698	0.078417	0.084742	0.085726
173.50	912.764	0.078411	0.084735	0.085720
174.00	912.829	0.078406	0.084729	0.085714
174.50	912.893	0.078400	0.084724	0.085708
175.00	912.955	0.078395	0.084718	0.085702
175.50	913.017	0.078389	0.084712	0.085696
176.00	913.078	0.078384	0.084706	0.085690
176.50	913.138	0.078379	0.084701	0.085684
177.00	913.197	0.078374	0.084695	0.085679
177.50	913.256	0.078369	0.084690	0.085673
178.00	913.313	0.078364	0.084685	0.085668
178.50	913.369	0.078359	0.084679	0.085663
179.00	913.425	0.078355	0.084674	0.085658
179.50	913.480	0.078350	0.084669	0.085652
180.00	913.534	0.078345	0.084664	0.085647
180.50	913.587	0.078341	0.084659	0.085642
181.00	913.639	0.078336	0.084654	0.085638
181.50	913.690	0.078332	0.084650	0.085633
182.00	913.741	0.078327	0.084645	0.085628
182.50	913.791	0.078323	0.084640	0.085623
183.00	913.840	0.078319	0.084636	0.085619
183.50	913.889	0.078315	0.084631	0.085614
184.00	913.936	0.078311	0.084627	0.085610
184.50	913.983	0.078307	0.084622	0.085605
185.00	914.029	0.078303	0.084618	0.085601
185.50	914.075	0.078299	0.084614	0.085597
186.00	914.120	0.078295	0.084610	0.085592
186.50	914.164	0.078291	0.084606	0.085588
187.00	914.207	0.078287	0.084602	0.085584
187.50	914.250	0.078284	0.084598	0.085580
188.00	914.292	0.078280	0.084594	0.085576
188.50	914.334	0.078277	0.084590	0.085572
189.00	914.375	0.078273	0.084586	0.085569
189.50	914.415	0.078270	0.084582	0.085565
190.00	914.454	0.078266	0.084579	0.085561
190.50	914.494	0.078263	0.084575	0.085557
191.00	914.532	0.078260	0.084572	0.085554
191.50	914.570	0.078256	0.084568	0.085550
192.00	914.607	0.078253	0.084565	0.085547
192.50	914.644	0.078250	0.084561	0.085543
193.00	914.680	0.078247	0.084558	0.085540
193.50	914.715	0.078244	0.084555	0.085537
194.00	914.750	0.078241	0.084551	0.085533
194.50	914.785	0.078238	0.084548	0.085530
195.00	914.819	0.078235	0.084545	0.085527
195.50	914.852	0.078232	0.084542	0.085524
196.00	914.885	0.078229	0.084539	0.085521
196.50	914.918	0.078227	0.084536	0.085518
197.00	914.950	0.078224	0.084533	0.085515
197.50	914.981	0.078221	0.084530	0.085512
198.00	915.012	0.078219	0.084527	0.085509
198.50	915.043	0.078216	0.084524	0.085506
199.00	915.073	0.078213	0.084522	0.085503
199.50	915.102	0.078211	0.084519	0.085501
200.00	915.131	0.078208	0.084516	0.085498
200.50	915.160	0.078206	0.084514	0.085495
201.00	915.188	0.078204	0.084511	0.085493
201.50	915.216	0.078201	0.084508	0.085490
202.00	915.243	0.078199	0.084506	0.085487
202.50	915.270	0.078197	0.084503	0.085485
203.00	915.297	0.078194	0.084501	0.085482
203.50	915.323	0.078192	0.084499	0.085480
204.00	915.349	0.078190	0.084496	0.085478
204.50	915.374	0.078188	0.084494	0.085475
205.00	915.399	0.078186	0.084492	0.085473
205.50	915.423	0.078183	0.084489	0.085471
206.00	915.448	0.078181	0.084487	0.085468
206.50	915.471	0.078179	0.084485	0.085466
207.00	915.495	0.078177	0.084483	0.085464
207.50	915.518	0.078175	0.084481	0.085462
208.00	915.541	0.078173	0.084478	0.085460
208.50	915.563	0.078172	0.084476	0.085458
209.00	915.585	0.078170	0.084474	0.085455
209.50	915.607	0.078168	0.084472	0.085453
210.00	915.628	0.078166	0.084470	0.085451
210.50	915.649	0.078164	0.084468	0.085449
211.00	915.670	0.078162	0.084467	0.085448
211.50	915.690	0.078161	0.084465	0.085446
212.00	915.711	0.078159	0.084463	0.085444
212.50	915.730	0.078157	0.084461	0.085442
213.00	915.750	0.078156	0.084459	0.085440
213.50	915.769	0.078154	0.084457	0.085438
214.00	915.788	0.078152	0.084456	0.085437
214.50	915.807	0.078151	0.084454	0.085435
215.00	915.825	0.078149	0.084452	0.085433
215.50	915.843	0.078148	0.084451	0.085431
216.00	915.861	0.078146	0.084449	0.085430
216.50	915.878	0.078145	0.084447	0.085428
217.00	915.895	0.078143	0.084446	0.085427
217.50	915.912	0.078142	0.084444	0.085425
218.00	915.929	0.078140	0.084443	0.085423
218.50	915.945	0.078139	0.084441	0.085422
219.00	915.962	0.078138	0.084440	0.085420
219.50	915.978	0.078136	0.084438	0.085419
220.00	915.993	0.078135	0.084437	0.085417
220.50	916.009	0.078133	0.084435	0.085416
221.00	916.024	0.078132	0.084434	0.085415
221.50	916.039	0.078131	0.084433	0.085413
222.00	916.054	0.078130	0.084431	0.085412
222.50	916.068	0.078128	0.084430	0.085410
223.00	916.083	0.078127	0.084428	0.085409
223.50	916.097	0.078126	0.084427	0.085408
224.00	916.111	0.078125	0.084426	0.085406
224.50	916.124	0.078124	0.084425	0.085405
225.00	916.138	0.078123	0.084423	0.085404
225.50	916.151	0.078121	0.084422	0.085403
226.00	916.164	0.078120	0.084421	0.085402
226.50	916.177	0.078119	0.084420	0.085400
227.00	916.189	0.078118	0.084419	0.085399
227.50	916.202	0.078117	0.084417	0.085398
