f_18, P_18, f_D, P_D
6.635187963089231644e+00,1.896796833388582609e-04,6.635187963089231644e+00,2.482927766896831853e-02
6.685076594390654492e+00,1.740324298652105015e-04,6.685076594390654492e+00,2.238179276469069029e-02
6.734965225692077340e+00,1.598448043517486416e-04,6.734965225692077340e+00,2.038219661318163567e-02
6.784853856993500187e+00,1.471846454142708210e-04,6.784853856993500187e+00,1.875094295528448654e-02
6.834742488294922147e+00,1.360594311335566503e-04,6.834742488294922147e+00,1.742247931448281245e-02
6.884631119596345883e+00,1.264306993352101510e-04,6.884631119596345883e+00,1.634306077948788696e-02
6.934519750897768731e+00,1.182299205250445320e-04,6.934519750897768731e+00,1.546847947997107703e-02
6.984408382199190690e+00,1.113729917432736350e-04,6.984408382199190690e+00,1.476196500016956764e-02
7.034297013500613538e+00,1.057719822367611388e-04,7.034297013500613538e+00,1.419235617696005744e-02
7.084185644802037274e+00,1.013438213764052001e-04,7.084185644802037274e+00,1.373257731380888788e-02
7.134074276103459233e+00,9.801621300080025714e-05,7.134074276103459233e+00,1.335843342615508460e-02
7.183962907404882081e+00,9.573128108895600737e-05,7.183962907404882081e+00,1.304774460392611572e-02
7.233851538706305817e+00,9.444742581191009059e-05,7.233851538706305817e+00,1.277985018505036624e-02
7.283740170007728665e+00,9.413969588097826247e-05,7.283740170007728665e+00,1.253551249131122994e-02
7.333628801309150624e+00,9.479871868555218753e-05,7.333628801309150624e+00,1.229722268051972565e-02
7.383517432610573472e+00,9.642789427175521599e-05,7.383517432610573472e+00,1.204985017888730511e-02
7.433406063911997208e+00,9.903815766795889862e-05,7.433406063911997208e+00,1.178149021116456016e-02
7.483294695213419168e+00,1.026391705211035759e-04,7.483294695213419168e+00,1.148428066738611461e-02
7.533183326514842015e+00,1.072254211057910701e-04,7.533183326514842015e+00,1.115492452884079416e-02
7.583071957816263975e+00,1.127556738239699559e-04,7.583071957816263975e+00,1.079470404904116915e-02
7.632960589117687711e+00,1.191251000004430751e-04,7.632960589117687711e+00,1.040890795714432583e-02
7.682849220419110559e+00,1.261321621960412027e-04,7.682849220419110559e+00,1.000576554220385106e-02
7.732737851720532518e+00,1.334477925000518818e-04,7.732737851720532518e+00,9.595118654015098725e-03
7.782626483021955366e+00,1.406021365052477587e-04,7.782626483021955366e+00,9.187109450741281699e-03
7.832515114323379102e+00,1.470100874122225512e-04,7.832515114323379102e+00,8.791112058114102304e-03
7.882403745624801950e+00,1.520523973774065747e-04,7.882403745624801950e+00,8.415028993311415503e-03
7.932292376926223909e+00,1.552063805904460309e-04,7.932292376926223909e+00,8.064961592570920115e-03
7.982181008227646757e+00,1.561848358594803657e-04,7.982181008227646757e+00,7.745185683057574828e-03
8.032069639529069605e+00,1.550202532170893489e-04,8.032069639529069605e+00,7.458330589203730071e-03
8.081958270830492452e+00,1.520507755942991624e-04,8.081958270830492452e+00,7.205662259487256166e-03
8.131846902131915300e+00,1.478174143551063899e-04,8.131846902131915300e+00,6.987393334383895302e-03
8.181735533433338148e+00,1.429263816241959826e-04,8.181735533433338148e+00,6.802969940528456189e-03
8.231624164734760996e+00,1.379338630599270148e-04,8.231624164734760996e+00,6.651308304434148770e-03
8.281512796036183843e+00,1.332816663866528766e-04,8.281512796036183843e+00,6.530970721719931739e-03
8.331401427337606691e+00,1.292807988672994423e-04,8.331401427337606691e+00,6.440280151437012719e-03
8.381290058639029539e+00,1.261245239680744683e-04,8.381290058639029539e+00,6.377377370265262073e-03
8.431178689940452387e+00,1.239121030252690906e-04,8.431178689940452387e+00,6.340226171296154366e-03
8.481067321241875234e+00,1.226707174157365887e-04,8.481067321241875234e+00,6.326572283970215323e-03
8.530955952543298082e+00,1.223695249593412628e-04,8.530955952543298082e+00,6.333861987898880413e-03
8.580844583844720930e+00,1.229242173139440521e-04,8.580844583844720930e+00,6.359128030941586449e-03
8.630733215146143777e+00,1.241932080759237684e-04,8.630733215146143777e+00,6.398854505646868820e-03
8.680621846447566625e+00,1.259688888395852507e-04,8.680621846447566625e+00,6.448839565997137660e-03
8.730510477748987697e+00,1.279701583223585154e-04,8.730510477748987697e+00,6.504085355772710499e-03
8.780399109050412321e+00,1.298455176430128057e-04,8.780399109050412321e+00,6.558756861481157031e-03
8.830287740351835168e+00,1.311974908564624346e-04,8.830287740351835168e+00,6.606261684061935126e-03
8.880176371653256240e+00,1.316352762610168120e-04,8.880176371653256240e+00,6.639503892807185545e-03
8.930065002954680864e+00,1.308504656471119970e-04,8.930065002954680864e+00,6.651347980553002671e-03
8.979953634256103712e+00,1.286935524069069564e-04,8.979953634256103712e+00,6.635286198338292626e-03
9.029842265557526559e+00,1.252186586665284841e-04,9.029842265557526559e+00,6.586236104598196077e-03
9.079730896858947631e+00,1.206730275121199438e-04,9.079730896858947631e+00,6.501323041791437322e-03
9.129619528160372255e+00,1.154345259075535419e-04,9.129619528160372255e+00,6.380457813811296966e-03
9.179508159461795103e+00,1.099256450456715691e-04,9.179508159461795103e+00,6.226537049106826115e-03
9.229396790763216174e+00,1.045381015108048966e-04,9.229396790763216174e+00,6.045182935169522188e-03
9.279285422064639022e+00,9.958837645569049613e-05,9.279285422064639022e+00,5.844071240813261854e-03
9.329174053366063646e+00,9.530577075722217542e-05,9.329174053366063646e+00,5.632014451085180784e-03
9.379062684667484717e+00,9.184301837401171158e-05,9.379062684667484717e+00,5.418018973473913598e-03
9.428951315968907565e+00,8.929740017080206257e-05,9.428951315968907565e+00,5.210507420411807436e-03
9.478839947270330413e+00,8.773356833042663338e-05,9.478839947270330413e+00,5.016815283433720928e-03
9.528728578571753260e+00,8.720355556101942816e-05,9.528728578571753260e+00,4.842979920708514498e-03
9.578617209873176108e+00,8.776251910250039618e-05,9.578617209873176108e+00,4.693773059917657683e-03
9.628505841174598956e+00,8.948027354230904699e-05,9.628505841174598956e+00,4.572898021503036051e-03
9.678394472476021804e+00,9.244894334469697409e-05,9.678394472476021804e+00,4.483273189136283317e-03
9.728283103777444651e+00,9.678649534304638400e-05,9.728283103777444651e+00,4.427339897026053885e-03
9.778171735078867499e+00,1.026346707622628111e-04,9.778171735078867499e+00,4.407353021285022494e-03
9.828060366380290347e+00,1.101479379945649692e-04,9.828060366380290347e+00,4.425627964106219892e-03
9.877948997681713195e+00,1.194676173860884062e-04,9.877948997681713195e+00,4.484724441271766351e-03
9.927837628983136042e+00,1.306730001364140605e-04,9.927837628983136042e+00,4.587543846796506529e-03
9.977726260284558890e+00,1.437014857915440479e-04,9.977726260284558890e+00,4.737301836264575135e-03
1.002761489158598174e+01,1.582378414495585865e-04,1.002761489158598174e+01,4.937309938292625856e-03
1.007750352288740459e+01,1.735962510043464135e-04,1.007750352288740459e+01,5.190459630129922765e-03
1.012739215418882743e+01,1.886595109564449986e-04,1.012739215418882743e+01,5.498256130592345942e-03
1.017728078549025028e+01,2.019736908687007207e-04,1.017728078549025028e+01,5.859222322438808160e-03
1.022716941679167313e+01,2.120638923158097756e-04,1.022716941679167313e+01,6.266549319965679550e-03
1.027705804809309420e+01,2.178947579475735172e-04,1.027705804809309420e+01,6.705129267605527792e-03
1.032694667939451882e+01,2.192347546535988430e-04,1.032694667939451882e+01,7.148714016484607539e-03
1.037683531069594167e+01,2.166919214613976662e-04,1.037683531069594167e+01,7.558893784340949516e-03
1.042672394199736274e+01,2.114159750099708262e-04,1.042672394199736274e+01,7.888342680837785031e-03
1.047661257329878737e+01,2.046800153017920587e-04,1.047661257329878737e+01,8.090037367164949061e-03
1.052650120460021022e+01,1.975613268085990506e-04,1.052650120460021022e+01,8.130823140691035775e-03
1.057638983590163129e+01,1.907988935988484799e-04,1.057638983590163129e+01,8.003244118628525042e-03
1.062627846720305591e+01,1.847858868724807822e-04,1.062627846720305591e+01,7.728528318125084569e-03
1.067616709850447698e+01,1.796240489160202145e-04,1.067616709850447698e+01,7.348716417067350203e-03
1.072605572980589983e+01,1.751896310248060769e-04,1.072605572980589983e+01,6.912979048738847679e-03
1.077594436110732445e+01,1.711926317420695422e-04,1.077594436110732445e+01,6.465518388845799269e-03
1.082583299240874553e+01,1.672329528547389192e-04,1.082583299240874553e+01,6.039197677165606196e-03
1.087572162371017015e+01,1.628656969190391815e-04,1.087572162371017015e+01,5.654642800477983899e-03
1.092561025501159300e+01,1.576837172913635816e-04,1.092561025501159300e+01,5.322444338451346769e-03
1.097549888631301407e+01,1.514102239443958393e-04,1.097549888631301407e+01,5.046241291677173654e-03
1.102538751761443869e+01,1.439751553390036668e-04,1.102538751761443869e+01,4.825446750101954237e-03
1.107527614891585976e+01,1.355414774925485207e-04,1.107527614891585976e+01,4.657202545565083604e-03
1.112516478021728261e+01,1.264639957331428288e-04,1.112516478021728261e+01,4.537584232717429417e-03
1.117505341151870724e+01,1.171964718632544100e-04,1.117505341151870724e+01,4.462224074233618262e-03
1.122494204282012831e+01,1.081875646223712500e-04,1.122494204282012831e+01,4.426527026585243968e-03
1.127483067412155116e+01,9.980408458978299506e-05,1.127483067412155116e+01,4.425619757812468587e-03
1.132471930542297578e+01,9.229776727210831674e-05,1.132471930542297578e+01,4.454141501573365310e-03
1.137460793672439685e+01,8.580926635502480560e-05,1.137460793672439685e+01,4.505974578841771654e-03
1.142449656802581970e+01,8.039293141918076827e-05,1.142449656802581970e+01,4.574022505685251122e-03
1.147438519932724432e+01,7.604729844340406253e-05,1.147438519932724432e+01,4.650163550761043235e-03
1.152427383062866539e+01,7.274232510128043915e-05,1.152427383062866539e+01,4.725513184664023418e-03
1.157416246193008824e+01,7.044002911059123976e-05,1.157416246193008824e+01,4.791086420184949290e-03
1.162405109323150931e+01,6.910851817974908537e-05,1.162405109323150931e+01,4.838835766015459929e-03
1.167393972453293394e+01,6.873068089793439041e-05,1.167393972453293394e+01,4.862868841124989329e-03
1.172382835583435678e+01,6.930883379251534515e-05,1.172382835583435678e+01,4.860500172398552268e-03
1.177371698713577786e+01,7.086600350429297479e-05,1.177371698713577786e+01,4.832773520014279310e-03
1.182360561843720248e+01,7.344355168660332339e-05,1.182360561843720248e+01,4.784256967088308492e-03
1.187349424973862533e+01,7.709358133759594306e-05,1.187349424973862533e+01,4.722190742453048068e-03
1.192338288104004818e+01,8.186301221321782185e-05,1.192338288104004818e+01,4.655298283136311693e-03
1.197327151234147102e+01,8.776467416090657895e-05,1.197327151234147102e+01,4.592632958558068128e-03
1.202316014364289387e+01,9.473041214448180104e-05,1.202316014364289387e+01,4.542728315033117865e-03
1.207304877494431672e+01,1.025449379312718740e-04,1.207304877494431672e+01,4.513144931938222956e-03
1.212293740624573957e+01,1.107718349418340150e-04,1.212293740624573957e+01,4.510360954929448600e-03
1.217282603754716064e+01,1.187077910167683631e-04,1.217282603754716064e+01,4.539878680779418745e-03
1.222271466884858526e+01,1.254274351620449383e-04,1.222271466884858526e+01,4.606405253474393433e-03
1.227260330015000811e+01,1.299728222984061874e-04,1.227260330015000811e+01,4.713979275050977739e-03
1.232249193145142918e+01,1.316584418829242593e-04,1.232249193145142918e+01,4.865929398223377625e-03
1.237238056275285381e+01,1.303390756711650129e-04,1.237238056275285381e+01,5.064553334464886626e-03
1.242226919405427665e+01,1.264611506694755610e-04,1.242226919405427665e+01,5.310401017122062632e-03
1.247215782535569772e+01,1.208643890000369214e-04,1.247215782535569772e+01,5.601059329305494577e-03
1.252204645665712235e+01,1.144791360667618882e-04,1.252204645665712235e+01,5.929420926902729400e-03
1.257193508795854342e+01,1.080929275501264222e-04,1.257193508795854342e+01,6.281656460634021423e-03
1.262182371925996627e+01,1.022549447781392136e-04,1.262182371925996627e+01,6.635562267754459460e-03
1.267171235056139089e+01,9.728707624210803718e-05,1.267171235056139089e+01,6.960537577727504872e-03
1.272160098186281196e+01,9.334134838172654283e-05,1.272160098186281196e+01,7.220716059825427885e-03
1.277148961316423481e+01,9.046072866755745627e-05,1.277148961316423481e+01,7.381961590431094893e-03
1.282137824446565944e+01,8.862474186357867628e-05,1.282137824446565944e+01,7.421164929468518703e-03
1.287126687576708051e+01,8.777651710544744545e-05,1.287126687576708051e+01,7.333778153257677380e-03
1.292115550706850335e+01,8.783385925620696897e-05,1.292115550706850335e+01,7.135384446091901957e-03
1.297104413836992798e+01,8.868813098280483166e-05,1.297104413836992798e+01,6.856373832767173604e-03
1.302093276967134905e+01,9.019465750108368650e-05,1.302093276967134905e+01,6.532888680661377671e-03
1.307082140097277190e+01,9.215897560082817223e-05,1.307082140097277190e+01,6.198561238942723248e-03
1.312071003227419475e+01,9.432530842898473355e-05,1.312071003227419475e+01,5.879753912495025436e-03
1.317059866357561759e+01,9.637661005044492063e-05,1.317059866357561759e+01,5.594405246151124868e-03
1.322048729487704044e+01,9.795686431456174345e-05,1.322048729487704044e+01,5.353149492214338487e-03
1.327037592617846329e+01,9.872170773179553738e-05,1.327037592617846329e+01,5.161286072182422538e-03
1.332026455747988614e+01,9.841003492666282738e-05,1.332026455747988614e+01,5.020691881756798522e-03
1.337015318878130898e+01,9.691184303561525566e-05,1.337015318878130898e+01,4.931290356230869087e-03
1.342004182008273183e+01,9.430015779211716994e-05,1.342004182008273183e+01,4.892005935063593880e-03
1.346993045138415468e+01,9.080895359882660038e-05,1.346993045138415468e+01,4.901261837924965163e-03
1.351981908268557575e+01,8.676753444153549220e-05,1.351981908268557575e+01,4.957102379117775924e-03
1.356970771398700037e+01,8.252259817236555625e-05,1.356970771398700037e+01,5.057002866100101038e-03
1.361959634528842322e+01,7.837782191595846887e-05,1.361959634528842322e+01,5.197409918985930813e-03
1.366948497658984429e+01,7.456388797539012850e-05,1.366948497658984429e+01,5.373057493402527696e-03
1.371937360789126892e+01,7.123529871637455761e-05,1.371937360789126892e+01,5.576147741249823722e-03
1.376926223919269177e+01,6.848294273987601808e-05,1.376926223919269177e+01,5.795582552601930004e-03
1.381915087049411284e+01,6.635205600060888542e-05,1.381915087049411284e+01,6.016568889268270916e-03
1.386903950179553746e+01,6.485914014945335943e-05,1.386903950179553746e+01,6.221034139069968501e-03
1.391892813309696031e+01,6.400506699655925515e-05,1.391892813309696031e+01,6.389245009597305583e-03
1.396881676439838138e+01,6.378383227140550240e-05,1.396881676439838138e+01,6.502682549856772173e-03
1.401870539569980600e+01,6.418737132152341576e-05,1.401870539569980600e+01,6.547594855455368332e-03
1.406859402700122708e+01,6.520702059603998406e-05,1.406859402700122708e+01,6.518042213014063786e-03
1.411848265830264992e+01,6.683202935183365329e-05,1.411848265830264992e+01,6.417173853706361654e-03
1.416837128960407455e+01,6.904526881094241860e-05,1.416837128960407455e+01,6.256168962858973427e-03
1.421825992090549562e+01,7.181612876868835767e-05,1.421825992090549562e+01,6.051346878843973272e-03
1.426814855220691847e+01,7.509069252921279621e-05,1.426814855220691847e+01,5.820666672526009222e-03
1.431803718350834309e+01,7.877981830355584251e-05,1.431803718350834309e+01,5.580796301674393646e-03
1.436792581480976416e+01,8.274689127746533460e-05,1.436792581480976416e+01,5.345358195003919836e-03
1.441781444611118701e+01,8.679872963658033947e-05,1.441781444611118701e+01,5.124343609122540555e-03
